"","age","workclass","fnlwgt","education","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","salary"
"54",50,"Federal-gov",251585,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,55,"United-States",">50K"
"55",47,"Self-emp-inc",109832,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
"59",41,"Private",147372,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,48,"United-States","<=50K"
"60",30,"Private",188146,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",5013,0,40,"United-States","<=50K"
"61",30,"Private",59496,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",2407,0,40,"United-States","<=50K"
"63",48,"Private",149640,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
"64",42,"Private",116632,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States",">50K"
"66",36,"Private",155537,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"68",53,"Private",169846,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",">50K"
"72",31,"Private",309974,"Bachelors",13,"Separated","Sales","Own-child","Black","Female",0,0,40,"United-States","<=50K"
"73",29,"Self-emp-not-inc",162298,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,70,"United-States",">50K"
"76",27,"Private",213921,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,40,"Mexico","<=50K"
"81",18,"Private",446839,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,0,30,"United-States","<=50K"
"82",52,"Private",276515,"Bachelors",13,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"Cuba","<=50K"
"83",46,"Private",51618,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"United-States","<=50K"
"84",59,"Private",159937,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"United-States","<=50K"
"85",44,"Private",343591,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Female",14344,0,40,"United-States",">50K"
"86",53,"Private",346253,"HS-grad",9,"Divorced","Sales","Own-child","White","Female",0,0,35,"United-States","<=50K"
"87",49,"Local-gov",268234,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States",">50K"
"88",33,"Private",202051,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K"
"90",43,"Federal-gov",410867,"Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States",">50K"
"94",30,"Private",117747,"HS-grad",9,"Married-civ-spouse","Sales","Wife","Asian-Pac-Islander","Female",0,1573,35,"?","<=50K"
"95",34,"Local-gov",226296,"Bachelors",13,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States",">50K"
"97",48,"Self-emp-not-inc",191277,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,60,"United-States",">50K"
"100",32,"Federal-gov",249409,"HS-grad",9,"Never-married","Other-service","Own-child","Black","Male",0,0,40,"United-States","<=50K"
"101",76,"Private",124191,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"102",44,"Private",198282,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,60,"United-States",">50K"
"103",47,"Self-emp-not-inc",149116,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
"105",29,"Private",103432,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"106",32,"Self-emp-inc",317660,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States",">50K"
"109",31,"Local-gov",189265,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"110",42,"Private",124692,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K"
"111",24,"Private",432376,"Bachelors",13,"Never-married","Sales","Other-relative","White","Male",0,0,40,"United-States","<=50K"
"113",56,"Self-emp-not-inc",335605,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,1887,50,"Canada",">50K"
"115",36,"Private",102864,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,"United-States","<=50K"
"120",22,"Private",102632,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,41,"United-States","<=50K"
"122",40,"Private",118853,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States","<=50K"
"123",30,"Private",77143,"Bachelors",13,"Never-married","Exec-managerial","Own-child","Black","Male",0,0,40,"Germany","<=50K"
"124",29,"State-gov",267989,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",">50K"
"126",47,"Private",287828,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States",">50K"
"129",35,"?",129305,"HS-grad",9,"Married-civ-spouse","?","Husband","White","Male",0,0,40,"United-States","<=50K"
"132",24,"Private",43323,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,1762,40,"United-States","<=50K"
"133",38,"Self-emp-not-inc",120985,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",4386,0,35,"United-States","<=50K"
"134",37,"Private",254202,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","<=50K"
"136",38,"Federal-gov",125933,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"Iran",">50K"
"137",43,"Self-emp-not-inc",56920,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
"141",61,"Self-emp-inc",66614,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"146",31,"Private",185814,"HS-grad",9,"Never-married","Transport-moving","Unmarried","Black","Female",0,0,30,"United-States","<=50K"
"148",36,"Private",108293,"HS-grad",9,"Widowed","Other-service","Unmarried","White","Female",0,0,24,"United-States","<=50K"
"152",34,"Private",198183,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"153",33,"Private",163003,"Bachelors",13,"Never-married","Exec-managerial","Other-relative","Asian-Pac-Islander","Female",0,0,40,"Philippines","<=50K"
"154",21,"Private",296158,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,35,"United-States","<=50K"
"155",52,"?",252903,"HS-grad",9,"Divorced","?","Not-in-family","White","Male",0,0,45,"United-States",">50K"
"156",48,"Private",187715,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,46,"United-States","<=50K"
"157",23,"Private",214542,"Bachelors",13,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"159",29,"Private",191535,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
"160",42,"Private",228456,"Bachelors",13,"Separated","Other-service","Other-relative","Black","Male",0,0,50,"United-States","<=50K"
"162",25,"Private",252752,"HS-grad",9,"Never-married","Other-service","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"163",44,"Self-emp-inc",78374,"Masters",14,"Divorced","Exec-managerial","Unmarried","Asian-Pac-Islander","Female",0,0,40,"United-States","<=50K"
"164",28,"Private",88419,"HS-grad",9,"Never-married","Exec-managerial","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"England","<=50K"
"165",45,"Self-emp-not-inc",201080,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
"168",46,"State-gov",102628,"Masters",14,"Widowed","Protective-serv","Unmarried","White","Male",0,0,40,"United-States","<=50K"
"171",27,"Private",124953,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",0,1980,40,"United-States","<=50K"
"172",28,"State-gov",175325,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","<=50K"
"174",27,"Private",428030,"Bachelors",13,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
"175",28,"State-gov",149624,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
"176",27,"Private",253814,"HS-grad",9,"Married-spouse-absent","Sales","Unmarried","White","Female",0,0,25,"United-States","<=50K"
"177",21,"Private",312956,"HS-grad",9,"Never-married","Craft-repair","Own-child","Black","Male",0,0,40,"United-States","<=50K"
"178",34,"Private",483777,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
"179",18,"Private",183930,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,12,"United-States","<=50K"
"180",33,"Private",37274,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,65,"United-States","<=50K"
"186",34,"Private",304030,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,40,"United-States","<=50K"
"187",41,"Self-emp-not-inc",143129,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"188",53,"?",135105,"Bachelors",13,"Divorced","?","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
"189",31,"Private",99928,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,50,"United-States","<=50K"
"190",58,"State-gov",109567,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,1,"United-States",">50K"
"193",41,"Local-gov",523910,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States","<=50K"
"195",41,"Federal-gov",130760,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,24,"United-States","<=50K"
"198",40,"Federal-gov",56795,"Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Female",14084,0,55,"United-States",">50K"
"199",35,"Private",138992,"Masters",14,"Married-civ-spouse","Prof-specialty","Other-relative","White","Male",7298,0,40,"United-States",">50K"
"200",24,"Self-emp-not-inc",32921,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"201",26,"Private",397317,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1876,40,"United-States","<=50K"
"202",19,"?",170653,"HS-grad",9,"Never-married","?","Own-child","White","Male",0,0,40,"Italy","<=50K"
"203",51,"Private",259323,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
"205",37,"State-gov",48211,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,35,"United-States","<=50K"
"207",36,"Private",128757,"Bachelors",13,"Married-civ-spouse","Other-service","Husband","Black","Male",7298,0,36,"United-States",">50K"
"208",35,"Private",36270,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
"209",58,"Self-emp-inc",210563,"HS-grad",9,"Married-civ-spouse","Sales","Wife","White","Female",15024,0,35,"United-States",">50K"
"211",44,"Local-gov",160943,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,40,"United-States","<=50K"
"212",37,"Private",208358,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",">50K"
"214",60,"Private",85815,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"United-States","<=50K"
"216",37,"Private",635913,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","Black","Male",0,0,60,"United-States",">50K"
"218",38,"Private",182609,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"Poland","<=50K"
"219",45,"Private",109434,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States","<=50K"
"223",90,"Private",51744,"HS-grad",9,"Never-married","Other-service","Not-in-family","Black","Male",0,2206,40,"United-States","<=50K"
"224",54,"Private",176681,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,20,"United-States","<=50K"
"226",18,"Private",243313,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","<=50K"
"228",66,"Self-emp-not-inc",167687,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",1409,0,50,"United-States","<=50K"
"230",65,"Private",176796,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"232",41,"Private",130408,"HS-grad",9,"Divorced","Sales","Unmarried","Black","Female",0,0,38,"United-States","<=50K"
"236",59,"State-gov",268700,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
"238",41,"Private",180138,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"Iran",">50K"
"239",38,"Local-gov",115076,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,70,"United-States",">50K"
"240",23,"Private",115458,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States","<=50K"
"241",40,"Private",347890,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
"242",41,"Self-emp-not-inc",196001,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,20,"United-States","<=50K"
"246",56,"Private",203580,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,35,"?","<=50K"
"247",58,"Private",236596,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,45,"United-States",">50K"
"248",32,"Private",183916,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,34,"United-States","<=50K"
"250",45,"Private",153141,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"?","<=50K"
"252",42,"Private",390781,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Wife","Black","Female",0,0,40,"United-States","<=50K"
"256",42,"Self-emp-not-inc",303044,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","Asian-Pac-Islander","Male",0,0,40,"Cambodia",">50K"
"257",20,"Private",117789,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,40,"United-States","<=50K"
"258",32,"Private",172579,"HS-grad",9,"Separated","Other-service","Not-in-family","White","Female",0,0,30,"United-States","<=50K"
"261",36,"Private",150042,"Bachelors",13,"Divorced","Prof-specialty","Own-child","White","Female",0,0,40,"United-States","<=50K"
"262",45,"Private",98092,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"United-States","<=50K"
"268",64,"Private",21174,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"269",33,"Private",185480,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
"270",33,"Private",222205,"HS-grad",9,"Married-civ-spouse","Craft-repair","Wife","White","Female",0,0,40,"United-States",">50K"
"271",61,"Private",69867,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"273",50,"Self-emp-not-inc",30653,"Masters",14,"Married-civ-spouse","Farming-fishing","Husband","White","Male",2407,0,98,"United-States","<=50K"
"274",27,"Local-gov",209109,"Masters",14,"Never-married","Prof-specialty","Own-child","White","Male",0,0,35,"United-States","<=50K"
"275",30,"Private",70377,"HS-grad",9,"Divorced","Prof-specialty","Own-child","White","Female",0,0,40,"United-States","<=50K"
"276",43,"Private",477983,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,40,"United-States","<=50K"
"281",22,"Private",34918,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,15,"Germany","<=50K"
"284",60,"Private",173960,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,42,"United-States","<=50K"
"285",21,"Private",205759,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K"
"286",57,"Federal-gov",425161,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",15024,0,40,"United-States",">50K"
"289",25,"Private",371987,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"291",36,"Private",200352,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States","<=50K"
"292",31,"Private",127595,"HS-grad",9,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"293",29,"Local-gov",220419,"Bachelors",13,"Never-married","Protective-serv","Not-in-family","White","Male",0,0,56,"United-States","<=50K"
"295",27,"Private",248402,"Bachelors",13,"Never-married","Tech-support","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
"296",65,"Private",111095,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,16,"United-States","<=50K"
"297",37,"Self-emp-inc",57424,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Female",0,0,60,"United-States","<=50K"
"298",39,"?",157443,"Masters",14,"Married-civ-spouse","?","Wife","Asian-Pac-Islander","Female",3464,0,40,"?","<=50K"
"299",24,"Private",278130,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
"300",38,"Private",169469,"HS-grad",9,"Divorced","Sales","Not-in-family","White","Male",0,0,80,"United-States","<=50K"
"301",48,"Private",146268,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",7688,0,40,"United-States",">50K"
"303",31,"Private",217460,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States",">50K"
"304",55,"Private",238638,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",4386,0,40,"United-States",">50K"
"306",43,"Private",173321,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"311",26,"Private",59306,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"312",34,"Private",142897,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",7298,0,35,"Taiwan",">50K"
"314",36,"Self-emp-not-inc",205607,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","Black","Female",0,0,40,"United-States",">50K"
"320",62,"Private",159841,"HS-grad",9,"Widowed","Other-service","Not-in-family","White","Female",0,0,24,"United-States","<=50K"
"321",39,"Self-emp-not-inc",174308,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
"323",35,"Private",186110,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,45,"United-States","<=50K"
"325",76,"Self-emp-not-inc",174309,"Masters",14,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,10,"United-States","<=50K"
"326",63,"Self-emp-not-inc",78383,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,45,"United-States","<=50K"
"329",58,"Self-emp-not-inc",321171,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K"
"330",66,"Private",127921,"HS-grad",9,"Never-married","Transport-moving","Not-in-family","White","Male",2050,0,55,"United-States","<=50K"
"332",26,"Private",224563,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"335",53,"Private",242606,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
"337",30,"Private",94235,"HS-grad",9,"Never-married","Craft-repair","Other-relative","White","Male",0,0,40,"United-States","<=50K"
"338",49,"Private",71195,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
"339",19,"Private",104112,"HS-grad",9,"Never-married","Sales","Unmarried","Black","Male",0,0,30,"Haiti","<=50K"
"340",45,"Private",261192,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","Black","Male",0,0,40,"United-States","<=50K"
"343",36,"State-gov",119272,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",7298,0,40,"United-States",">50K"
"344",33,"Private",85043,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,20,"United-States","<=50K"
"346",43,"Self-emp-not-inc",241895,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,42,"United-States","<=50K"
"350",31,"Private",156464,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Male",0,0,25,"United-States","<=50K"
"351",33,"Private",117963,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"352",26,"Private",192262,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
"353",33,"Private",111363,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
"355",59,"?",372020,"Bachelors",13,"Married-civ-spouse","?","Husband","White","Male",0,0,40,"United-States",">50K"
"356",38,"Federal-gov",95432,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States",">50K"
"359",42,"Private",111949,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,35,"United-States","<=50K"
"362",62,"Private",270092,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
"363",43,"Private",180609,"Bachelors",13,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States","<=50K"
"364",43,"Private",174575,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,1564,45,"United-States",">50K"
"365",22,"Private",410439,"HS-grad",9,"Married-spouse-absent","Sales","Not-in-family","White","Male",0,0,55,"United-States","<=50K"
"366",28,"Private",92262,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"369",57,"Private",212448,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,45,"United-States",">50K"
"370",39,"Private",481060,"HS-grad",9,"Divorced","Sales","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"374",45,"Private",256649,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","Black","Male",0,0,40,"United-States","<=50K"
"375",44,"Private",160323,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
"377",33,"Private",267404,"HS-grad",9,"Married-civ-spouse","Craft-repair","Wife","White","Female",0,0,40,"United-States","<=50K"
"379",46,"Self-emp-not-inc",80914,"Masters",14,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,30,"United-States","<=50K"
"380",38,"Private",172927,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","<=50K"
"381",54,"Private",174319,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"386",23,"Private",396099,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
